"id","code","name","continent","wikipedia_link","keywords"
302672,"AD","Andorra","EU","http://en.wikipedia.org/wiki/Andorra",
302676,"BE","Belgium","EU","http://en.wikipedia.org/wiki/Belgium",
302766,"FJ","Fiji","OC","http://en.wikipedia.org/wiki/Fiji",
